"","author","count"
"615","Fürnberg, Louis",3
"616","Fürstenberg, Paula",1
"617","Futscher, Christian",2
"618","Fux, Christiane",1
"619","Gabelentz, Georg von der",1
"620","Gablé, Rebecca",5
"621","Gabriel, Petra",2
"622","Gabriele",1
"623","Gahse, Zsuzsanna",1
"624","Galen, Philipp",1
"625","Galgóczy-Mécher, Viola de",1
"626","Ganghofer, Ludwig",1
"627","Ganglbauer, Petra",1
"628","Ganser, Susanne",1
"629","Gansner, Hans Peter",1
"630","Gaponenko, Marjana",5
"631","García Moreno, Aitor",1
"632","García Ponce, Juan",1
"633","Gardosch, Peter",1
"634","Garner, R. F.",1
"635","Garstka, Dietrich",1
"636","Gatarik, Václav",1
"637","Gatza, Mathias",1
"638","Gauß, Karl-Markus",1
"639","Gebhardt, Gusti",1
"640","Gehring, Birgitt",1
"641","Geiger, Carl Ignaz",1
"642","Geißler, Heike",3
"643","Gelich, Johannes",2
"644","Geltinger, Gunther",4
"645","Genke, Gerbert G.",1
"646","Genzmer, Herbert",1
"647","Georgi, André",2
"648","Gerdom, Susanne",1
"649","Gerlach, Heinrich",5
"650","Germano, Susanne",1
"651","Gernhardt, Robert",1
"652","Gerritsen, Tess",1
"653","Gerstenberg, Franziska",2
"654","Gerstenberg, Heinrich Wilhelm von",1
"655","Gerstl, Elfriede",1
"656","Gesemann, Gerhard",1
"657","Giampietro, Nicoletta",2
"658","Ǧibrān, Ǧibrān Ḫalīl",2
"659","Giese, Alexander",1
"660","Gieselmann, David",2
"661","Giesler, Manfred",1
"662","Gilbers, Harald",10
"663","Girardin, Delphine de",1
"664","Girst, Thomas",1
"665","Gjellerup, Karl",1
"666","Glaesener, Helga",1
"667","Glaeser, Ernst",3
"668","Glan, Katja von",1
"669","Glaser, Brigitte",3
"670","Glaser, Georg K.",2
"671","Gmeyner, Anna",2
"672","Gmür, Mario",1
"673","Gmür, Reto",1
"674","Goebbels, Joseph",1
"675","Goes, Albrecht",3
"676","Goethe, Christa",1
"677","Goetsch, Daniel",2
"678","Goetz, Bruno",1
"679","Goetz, Rainald",8
"680","Goga-Klinkenberg, Susanne",5
"681","Gogolin, Peter H.",1
"682","Gogoll, Ruth",2
"683","Gohl, Christiane",1
"684","Göhre, Frank",1
"685","Goldammer, Frank",3
"686","Goldschmidt, Georges-Arthur",5
"687","Goldstein, Barbara",5
"688","Goltz, Barbara von der",1
"689","Gomes, Chris",1
"690","Goosen, Frank",1
"691","Gorʹkij, Maksim",1
"692","Gordian, Robert",1
"693","Gordon, Chuck Ian",1
"694","Gorelik, Lena",2
"695","Göring, Gunter",1
"696","Görres, Ida Friederike",1
"697","Göttfert, Constantin",1
"698","Göttler, Norbert",1
"699","Gottsched, Luise Adelgunde Victorie",1
"700","Goyke, Frank",1
"701","Grab, Hermann",3
"702","Grabau, Fritz-René",1
"703","Grabbe, Christian Dietrich",2
"704","Graf-Riemann, Lisa",2
"705","Graff, Helga",1
"706","Grahn, Christian",1
"707","Gralle, Albrecht",1
"708","Gramich, Johannes",1
"709","Greene, Harlan",1
"710","Gregor, Manfred",1
"711","Greiner, Margret",2
"712","Griesbeck, Robert",1
"713","Griese, Peter",1
"714","Grimm, Albert Ludwig",1
"715","Grimm, Hans Herbert",8
"716","Grimm, Jacob",30
"717","Grimm, Wilhelm",2
"718","Gringel, Dana",1
"719","Gritzmann, Peter",1
"720","Groddeck, Georg",3
"721","Groh, Kevin",1
"722","Gromer Khan, Al",1
"723","Gronemann, Sammy",1
"724","Gros, Rainer",1
"725","Grosser, Karlheinz",1
"726","Grote, Paul",2
"727","Gruber, Marianne",7
"728","Gruber, Reinhard P.",1
"729","Gruenter, Undine",2
"730","Grün, Anselm",3
"731","Grünfeld, Max",2
"732","Grünzweig, Dorothea",1
"733","Gruša, Jiří",1
"734","Gryphius, Andreas",3
"735","Grzimek, Martin",4
"736","Gstättner, Egyd",1
"737","Gubler, Christine K.",1
"738","Gudelius, Claudia",1
"739","Guggenheim, Alexandra",3
"740","Guggenheimer, Michael",1
"741","Gulden, Alfred",1
"742","Günderode, Karoline von",2
"743","Güngör, Dilek",1
"744","Günther, Agnes",1
"745","Günther, Ernst",1
"746","Günther, Johann Christian",1
"747","Güsken, Christoph",1
"748","Gütersloh, Albert Paris",1
"749","Gutl, Martin",1
"750","Guttenbrunner, Michael",1
"751","Gutzkow, Karl",1
"752","Habe, Hans",3
"753","Hacks, Peter",1
"754","Hadwiger, Viktor",1
"755","Haefs, Gisbert",7
"756","Haensel, Hubert",3
"757","Häfner, Eberhard",1
"758","Hagedorn, Friedrich von",1
"759","Hahn, Nikola",1
"760","Hahn, Ulla",5
"761","Haidegger, Christine",1
"762","Haisch, Ulrike",1
