"","Var1","Freq"
"544","Ein Stern ist mir ins Herz gefallen",1
"545","Ein Tag auf dieser Erde",1
"546","Ein unbekannter Mensch",1
"547","Einar Schleef Gertrud",1
"548","Eindringlinge",1
"549","Eine Art Bescherung ltAnthologie",1
"550","Eine Billion Dollar",1
"551","Eine Reise in die Märchenwelt Afrikas",1
"552","Einer der auszog um reich zu werden",1
"553","Einfach kompliziertn",1
"554","Elektra",1
"555","Elfriede Jelinek Die Klavierspielerin",2
"556","Elfriede Jelinek Die Schutzbefohlenen",1
"557","Eliana  Samba im Blut",1
"558","Elias Canetti Das Geheimherz der Uhr",1
"559","Elisabeth von Thüringen",1
"560","Emmas Glück",1
"561","Ende",1
"562","Ende gut",1
"563","Endlich frei",1
"564","Endzeit 2020",1
"565","Engel",1
"566","Engelsgift",1
"567","Engelszungen",1
"568","Entwurf einer Liebe auf den ersten Blick",1
"569","Er ist wieder da",2
"570","Erec",1
"571","Erika Burkart Geheimbrief",1
"572","Erinnerung an Hans",1
"573","Erinnerungen an Scuoltoroman",1
"574","Erlösung",1
"575","Ernst Haffner Blutsbrüder",1
"576","Ernst Jünger Eumeswil",1
"577","Ernst Jünger Sturm",1
"578","Ernst und Falk",2
"579","Ernst Weiß Die Feuerprobe",1
"580","Erzählungen aus Südtirol",3
"581","Erzählungen aus Südtirolnd",1
"582","Erzählungen von Engeln Geistern und Dämonennd",1
"583","Es ist spät ich kann nicht atmen",1
"584","Es kam die Nachricht",1
"585","Es steht ein Bau im Odenwald",1
"586","Eskimo Limon 9",1
"587","Esran",1
"588","Esther Kinsky Am Fluss",1
"589","Esther Kinsky Hain",1
"590","Eugen Zabel Der Roman einer Kaiserin",1
"591","Eveline Hasler Anna Göldin letzte Hexe",1
"592","Ewald Tragy",1
"593","Exil",1
"594","Exit  das Buch Logbuch 1907",1
"595","Farnhams Legende",1
"596","Fatima",1
"597","Faust",9
"598","FaustIn and out",1
"599","Faustn",2
"600","Faustrecht",1
"601","Feenfeuer",1
"602","Fegefeuer oder die Reise ins Zuchthaus",1
"603","Felicitas",1
"604","Felsenbrüternd",1
"605","Feuchtgebiete",1
"606","Figuren",1
"607","Finsterau",1
