"","place","match","place_clean.x","place.y","group.y","place_clean.y","distance","Freq","latitude","longitude"
"257","Ramat Gan",610,"Ramat Gan","Rāmat Gan",610,"Ramat Gan",1,2,32.0686867,34.8246812
"258","Rāmat Gan",610,"Ramat Gan","Ramat Gan",610,"Ramat Gan",1,8,32.0686867,34.8246812
"259","Reykjavik",623,"Reykjavik","Reykjavík",623,"Reykjavik",1,4,64.145981,-21.9422367
"260","Reykjavík",623,"Reykjavik","Reykjavik",623,"Reykjavik",1,37,64.145981,-21.9422367
"261","Riga",628,"Riga","Rigā",628,"Riga",1,22,56.9493977,24.1051846
"262","Riga",628,"Riga","Rīga",629,"Riga",1,22,56.9493977,24.1051846
"263","Rigā",628,"Riga","Riga",628,"Riga",1,7,56.9493977,24.1051846
"264","Rigā",628,"Riga","Rīgā",629,"Riga",1,7,56.9493977,24.1051846
"265","Rīga",629,"Riga","Riga",628,"Riga",1,36,56.9493977,24.1051846
"266","Rīga",629,"Riga","Rīgã",629,"Riga",1,36,56.9493977,24.1051846
"267","Rīga",629,"Riga","Rīgā",629,"Riga",1,36,56.9493977,24.1051846
"268","Rīgã",629,"Riga","Rīga",629,"Riga",1,1,56.9493977,24.1051846
"269","Rīgã",629,"Riga","Rīgā",629,"Riga",1,1,56.9493977,24.1051846
"270","Rīgā",629,"Riga","Rigā",628,"Riga",1,303,56.9493977,24.1051846
"271","Rīgā",629,"Riga","Rīga",629,"Riga",1,303,56.9493977,24.1051846
"272","Rīgā",629,"Riga","Rīgã",629,"Riga",1,303,56.9493977,24.1051846
"273","Roma",118,"Roma","Ruma",507,"Ruma",1,326,41.8933203,12.4829321
"274","Ruma",507,"Ruma","Roma",118,"Roma",1,1,41.8933203,12.4829321
"275","S  Angela in Formis",650,"S  Angela in Formis","S  Angelo in Formis",650,"S  Angelo in Formis",1,1,NA,NA
"276","S  Angelo in Formis",650,"S  Angelo in Formis","S  Angela in Formis",650,"S  Angela in Formis",1,4,41.1195312,14.2507938
"277","s  l",650,"s  l","S  l",650,"S  l",1,1,35.57525385,-78.7423734349937
"278","s  l",650,"s  l","s l",650,"s l",1,1,35.57525385,-78.7423734349937
"279","S  l",650,"S  l","s  l",650,"s  l",1,1,35.57525385,-78.7423734349937
"280","S  l",650,"S  l","S l",650,"S l",1,1,35.57525385,-78.7423734349937
"281","s l",650,"s l","s  l",650,"s  l",1,1,35.57525385,-78.7423734349937
"282","s l",650,"s l","S l",650,"S l",1,1,35.57525385,-78.7423734349937
"283","S l",650,"S l","S  l",650,"S  l",1,10,35.57525385,-78.7423734349937
"284","S l",650,"S l","s l",650,"s l",1,10,35.57525385,-78.7423734349937
"285","Saint Pierre la Vieille",655,"Saint Pierre la Vieille","Saint Pierre La Vieille",655,"Saint Pierre La Vieille",1,7,48.9188612,-0.5754629
"286","Saint Pierre La Vieille",655,"Saint Pierre La Vieille","Saint Pierre la Vieille",655,"Saint Pierre la Vieille",1,2,48.9188612,-0.5754629
"287","San Cugat del Vallés",193,"San Cugat del Valles","Sant Cugat del Vallés",193,"Sant Cugat del Valles",1,1,41.4728432,2.0817809
"288","Sankt Peterburg",234,"Sankt Peterburg","Sankt Petersburg",234,"Sankt Petersburg",1,275,59.938732,30.316229
"289","Sankt Petersburg",234,"Sankt Petersburg","Sankt Peterburg",234,"Sankt Peterburg",1,1,59.938732,30.316229
"290","Sant Cugat del Vallés",193,"Sant Cugat del Valles","San Cugat del Vallés",193,"San Cugat del Valles",1,1,41.4728432,2.0817809
"291","Sao José do Rio Preto",664,"Sao Jose do Rio Preto","São José do Rio Preto",664,"Sao Jose do Rio Preto",1,1,-20.8125851,-49.3804212
"292","São José do Rio Preto",664,"Sao Jose do Rio Preto","Sao José do Rio Preto",664,"Sao Jose do Rio Preto",1,1,-20.8125851,-49.3804212
"293","Sao Paulo",665,"Sao Paulo","São Paulo",665,"Sao Paulo",1,1,-23.5506507,-46.6333824
"294","São Paulo",665,"Sao Paulo","Sao Paulo",665,"Sao Paulo",1,170,-23.5506507,-46.6333824
"295","Senica",679,"Senica","Zenica",836,"Zenica",1,5,48.6787557,17.3661529
"296","Shang hai",160,"Shang hai","Shanghai",160,"Shanghai",1,88,31.2322758,121.4692071
"297","Shanghai",160,"Shanghai","Shang hai",160,"Shang hai",1,15,31.2322758,121.4692071
"298","Smalensk",683,"Smalensk","Smolensk",683,"Smolensk",1,1,54.7814057,32.0461261
"299","Smederevo",695,"Smederevo","Smederovo",695,"Smederovo",1,7,44.6651048,20.9271115
"300","Smederovo",695,"Smederovo","Smederevo",695,"Smederevo",1,1,NA,NA
