"","author","count"
"597","Ringelnatz, Joachim",2
"598","Rinke, Moritz",5
"599","Rinser, Luise",12
"600","Roche, Charlotte",23
"601","Rode, Tibor",7
"602","Rodik, Belinda",4
"603","Röggla, Kathrin",5
"604","Rosendorfer, Herbert",7
"605","Roth, Joseph",58
"606","Roth, Patrick",6
"607","Rothmann, Ralf",26
"608","Rotzetter, Anton",4
"609","Ruge, Eugen",24
"610","Rylance, Ulrike",2
"611","Saar, Ferdinand von",2
"612","Sachau, Ursula",1
"613","Sacher-Masoch, Leopold von",23
"614","Sachs, Nelly",14
"615","Safier, David",30
"616","Sahl, Hans",2
"617","Said",8
"618","Said, Kurban",12
"619","Saint-Exupéry, Antoine de",3
"620","Salten, Felix",8
"621","Salzmann, Marianna",11
"622","Sand, Julia",2
"623","Sander, Gregor",5
"624","Sartorius, Joachim",12
"625","Saunders, Kate",2
"626","Schacht, Andrea",4
"627","Schädlich, Hans Joachim",12
"628","Schalansky, Judith",19
"629","Schami, Rafik",30
"630","Schaper, Edzard",2
"631","Schätzing, Frank",29
"632","Scheer, Karl H.",2
"633","Schenkel, Andrea Maria",16
"634","Scheuermann, Silke",11
"635","Schiller, Friedrich",51
"636","Schimmang, Jochen",3
"637","Schimmelpfennig, Roland",18
"638","Schindel, Robert",8
"639","Schirach, Ferdinand von",34
"640","Schlag, Evelyn",2
"641","Schlattner, Eginald",5
"642","Schlegel, Dorothea von",3
"643","Schlegel, Friedrich von",4
"644","Schlink, Bernhard",68
"645","Schmid, Christoph von",8
"646","Schmidt, Arno",28
"647","Schmidt, Kathrin",12
"648","Schmitter, Elke",12
"649","Schneider, Hansjörg",2
"650","Schneider, Peter",19
"651","Schneider, Robert",25
"652","Schnitzler, Arthur",62
"653","Schoder, Sabine",2
"654","Schöne, Lothar",4
"655","Schreiber, Claudia",10
"656","Schriber, Margrit",3
"657","Schrobsdorff, Angelika",2
"658","Schröder-Devrient, Wilhelmine",5
"659","Schroeder, Bernd",3
"660","Schubiger, Jürg",5
"661","Schulte von Drach, Markus Christian",2
"662","Schulze, Ingo",36
"663","Schumacher, Jens",2
"664","Sebald, W. G.",36
"665","Seethaler, Robert",26
"666","Seghers, Anna",26
"667","Seghers, Jan",5
"668","Seidel, Georg",2
"669","Seiler, Lutz",19
"670","Sendker, Jan-Philipp",30
"671","Setz, Clemens J.",11
"672","Setzwein, Bernhard",2
"673","Siepen, Stefan aus dem",2
"674","Simmel, Johannes Mario",26
